Location,Country,State,Date Begin,End Date,Color,Nights
Hong Kong,Hong Kong,,1/1/16,1/14/16,,14
Train,Vietnam,,1/15/16,1/15/16,,1
Sapa,Vietnam,,1/16/16,1/17/16,,2
Hanoi,Vietnam,,1/18/16,1/19/16,,2
Halong Bay,Vietnam,,1/20/16,1/20/16,,1
Da Nang,Vietnam,,1/21/16,1/21/16,,1
Hue,Vietnam,,1/22/16,1/22/16,,1
Da Nang,Vietnam,,1/23/16,1/23/16,,1
Hoi An,Vietnam,,1/24/16,1/25/16,,2
Bus,Vietnam,,1/26/16,1/26/16,,1
Buon Ma Thuot,Vietnam,,1/27/16,1/27/16,,1
Ho Chi Minh City,Vietnam,,1/28/16,2/1/16,,5
Phnom Penh,Cambodia,,2/2/16,2/3/16,,2
Sihanoukville,Cambodia,,2/4/16,2/5/16,,2
Kampot,Cambodia,,2/6/16,2/6/16,,1
Phnom Penh,Cambodia,,2/7/16,2/7/16,,1
Siem Reap,Cambodia,,2/8/16,2/10/16,,3
Bangkok,Thailand,Bangkok Metropolitan Area,2/11/16,2/18/16,,8
Phitsanulok,Thailand,Phitsanulok Province,2/19/16,2/19/16,,1
Chiang Mai,Thailand,Chiang Mai Province,2/20/16,2/22/16,,3
Pai,Thailand,Mae Hong Son Province,2/23/16,2/25/16,,3
Chiang Rai,Thailand,Chiang Rai Province,2/26/16,2/26/16,,1
Pak Beng,Laos,,2/27/16,2/27/16,,1
Luang Prabang,Laos,,2/28/16,3/1/16,,3
Vang Vieng,Laos,,3/2/16,3/3/16,,2
Vientiane,Laos,,3/4/16,3/4/16,,1
Bangkok,Thailand,,3/5/16,3/5/16,,1
Penang,Malaysia,,3/6/16,3/10/16,,5
Kuala Lumpur,Malaysia,Malaysian Federal Territories,3/11/16,3/11/16,,1
Singapore,Singapore,,3/12/16,3/16/16,,5
Urumqi,China,Xinjiang,3/17/16,3/17/16,,1
Kashgar,China,Xinjiang,3/18/16,3/22/16,,5
Beijing,China,Beijing,3/23/16,3/24/16,,2
Shenzhen,China,Guangdong,3/25/16,3/27/16,,3
Hong Kong,Hong Kong,,3/28/16,4/6/16,,10
San Francisco,United States,California,4/7/16,4/8/16,,2
Oakland,United States,California,4/9/16,4/9/16,,1
San Francisco,United States,California,4/10/16,4/11/16,,2
Boston,United States,Massachusetts,4/12/16,4/20/16,,9
New York City,United States,New York,4/21/16,4/23/16,,3
Boston,United States,Massachusetts,4/24/16,5/4/16,,11
Arlington,United States,Virginia,5/5/16,5/5/16,,1
Washington,United States,DC,5/6/16,5/6/16,,1
Arlington,United States,Virginia,5/7/16,5/8/16,,2
Boston,United States,Massachusetts,5/9/16,7/1/16,,54
Montreal,Canada,Quebec,7/2/16,7/3/16,,2
Boston,United States,Massachusetts,7/4/16,7/6/16,,3
Middletown,United States,Rhode Island,7/7/16,7/8/16,,2
Boston,United States,Massachusetts,7/9/16,8/5/16,,28
Portland,United States,Maine,8/6/16,8/6/16,,1
Boston,United States,Massachusetts,8/7/16,8/31/16,,25
Toronto,Canada,Ontario,9/1/16,9/1/16,,1
Fergus,Canada,Ontario,9/2/16,9/4/16,,3
Toronto,Canada,Ontario,9/5/16,9/6/16,,2
Boston,United States,Massachusetts,9/7/16,9/16/16,,10
Stamford,United States,Connecticut,9/17/16,9/17/16,,1
Boston,United States,Massachusetts,9/18/16,10/20/16,,33
Cambridge,United States,Massachusetts,10/21/16,10/27/16,,7
New York City,United States,Massachusetts,10/28/16,10/29/16,,2
Cambridge,United States,Massachusetts,10/30/16,11/6/16,,8
Boston,United States,Massachusetts,11/7/16,11/7/16,,1
Cambridge,United States,Massachusetts,11/8/16,11/22/16,,15
Boston,United States,Massachusetts,11/23/16,,,
